Dataset,Model,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std
Moons,Random Forest (Bagging),0.9685714285714285,0.9333333333333333,0.9513888888888888,0.9133333333333333,0.9319727891156463,0.9743555555555555,0.8971428571428571,0.017261494247992226
Moons,AdaBoost (Boosting),0.9814285714285714,0.92,0.9256756756756757,0.9133333333333333,0.9194630872483222,0.9755333333333334,0.8785714285714287,0.027479120088101907
Circles,Random Forest (Bagging),0.94,0.8866666666666667,0.8625,0.92,0.8903225806451613,0.9489333333333333,0.8514285714285714,0.01653690986112888
Circles,AdaBoost (Boosting),0.9571428571428572,0.88,0.8607594936708861,0.9066666666666666,0.8831168831168831,0.9467333333333333,0.8428571428571429,0.020203050891044207
Complex,Random Forest (Bagging),0.9971428571428571,0.8766666666666667,0.8783783783783784,0.87248322147651,0.8754208754208754,0.9517311880528023,0.8942857142857144,0.016536909861128886
Complex,AdaBoost (Boosting),1.0,0.9066666666666666,0.8954248366013072,0.9194630872483222,0.9072847682119205,0.9692430774701097,0.9,0.027479120088101907
